i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first,okx_spot,g_bn_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_okx_preMktSw,spot_min,gap_h
120,ETHWUSDT,ETHW,2023-11-28 12:00:00,,,2022-11-10 00:00:05.002,2022-11-10 00:02:04.910,ETHWUSDT-2022-11.csv.gz,2022-08-09 04:00:00,EthereumPoW,tradable,2023-11-25,-3.0,,2023-11-24 16:00:00.000,,-92.0,-9204.0,-11432.0,,2022-08-09 04:00:00.000,-11432.0
125,ACEUSDT,ACE,2023-12-18 10:00:00,2023-12-18,,,,,2023-12-22 05:00:00,Fusionist,tradable,2023-12-18,0.0,2023-12-18 06:00:00.005,2023-12-18 06:00:00.005,-10.0,-4.0,,91.0,,2023-12-18 00:00:00.000,-10.0
135,JUPUSDT,JUP,2024-01-31 18:00:00,2024-01-31,,2024-01-31 07:52:31.585,2024-01-31 15:00:00.658,JUPUSDT-2024-01.csv.gz,2024-01-31 15:10:00,Jupiter,tradable,2024-01-31,-1.0,2024-01-31 15:10:00.822,2024-01-31 15:10:00.822,-18.0,-2.8,-3.0,-2.8,,2024-01-31 00:00:00.000,-18.0
136,ZETAUSDT,ZETA,2024-02-02 08:00:00,,,,,,2024-02-01 03:00:00,ZetaChain,tradable,2024-02-01,-1.0,2024-02-01 03:00:00.551,2024-02-01 03:00:00.551,,-29.0,,-29.0,,2024-02-01 03:00:00.000,-29.0
141,STRKUSDT,STRK,2024-02-20 17:00:00,2024-02-20,,2024-02-20 08:31:27.750,2024-02-20 12:00:00.663,STRKUSDT-2024-02.csv.gz,2024-02-20 12:30:00,Starknet,tradable,2024-02-20,-1.0,2024-02-20 12:40:00.525,2024-02-20 12:40:00.525,-17.0,-4.3,-5.0,-4.5,,2024-02-20 00:00:00.000,-17.0
145,TONUSDT,TON,2024-03-01 12:00:00,2024-08-08,,2022-12-21 07:17:42.521,2022-12-21 10:00:21.090,TONUSDT-2022-12.csv.gz,,,,2024-02-27,-3.0,,2024-02-26 16:00:00.000,3828.0,-92.0,-10466.0,,,2022-12-21 10:00:21.090,-10466.0
148,METISUSDT,METIS,2024-03-12 08:00:00,2024-03-11,,,,,2021-05-13 13:00:00,Metis Token,tradable,2024-03-09,-3.0,,2024-03-08 16:00:00.000,-32.0,-88.0,,-24811.0,,2021-05-13 13:00:00.000,-24811.0
149,AEVOUSDT,AEVO,2024-03-13 13:00:00,2024-03-13,,2024-03-13 02:06:21.549,2024-03-13 10:00:00.898,AEVOUSDT-2024-03.csv.gz,2024-03-13 10:00:00,Aevo,tradable,2024-03-13,0.0,2024-03-13 10:00:00.033,2024-03-13 10:00:00.033,-13.0,-3.0,-3.0,-3.0,,2024-03-13 00:00:00.000,-13.0
152,ETHFIUSDT,ETHFI,2024-03-18 15:00:00,2024-03-18,,2024-03-18 11:03:48.612,2024-03-18 12:00:00.953,ETHFIUSDT-2024-03.csv.gz,2024-03-18 12:00:00,Ether.Fi,tradable,2024-03-18,0.0,2024-03-18 12:10:00.025,2024-03-18 12:10:00.025,-15.0,-2.8,-3.0,-3.0,,2024-03-18 00:00:00.000,-15.0
154,WUSDT,W,2024-04-03 15:00:00,2024-04-03,,2024-04-03 11:49:43.256,2024-04-03 12:00:02.051,WUSDT-2024-04.csv.gz,2024-04-03 12:00:00,WormHole,tradable,2024-04-03,0.0,2024-04-03 12:00:00.017,2024-04-03 12:00:00.017,-15.0,-3.0,-3.0,-3.0,,2024-04-03 00:00:00.000,-15.0
155,TNSRUSDT,TNSR,2024-04-08 17:00:00,2024-04-08,,2024-04-09 05:48:28.985,2024-04-09 08:00:00.891,TNSRUSDT-2024-04.csv.gz,2024-04-08 15:15:00,Tensor,tradable,2024-04-08,-1.0,2024-04-08 15:15:00.010,2024-04-08 15:15:00.010,-17.0,-1.7,15.0,-1.8,,2024-04-08 00:00:00.000,-17.0
161,NOTUSDT,NOT,2024-05-16 14:00:00,2024-05-16,,2024-05-16 03:38:30.597,2024-05-16 12:00:00.613,NOTUSDT-2024-05.csv.gz,2024-05-16 12:00:00,Notcoin,tradable,2024-05-16,0.0,2024-05-16 12:00:00.004,2024-05-16 12:00:00.004,-14.0,-2.0,-2.0,-2.0,,2024-05-16 00:00:00.000,-14.0
162,TURBOUSDT,TURBO,2024-05-30 15:00:00,2024-09-16,,,,,2023-05-05 04:00:00,Turbo,tradable,2024-05-27,-3.0,,2024-05-26 16:00:00.000,2601.0,-95.0,,-9395.0,,2023-05-05 04:00:00.000,-9395.0
164,ZKUSDT,ZK,2024-06-17 11:00:00,2024-06-17,,2024-03-19 02:40:43.254,2024-03-19 10:00:00.876,ZKUSDT-2024-03.csv.gz,2024-06-17 08:00:00,zkSync,tradable,2024-06-14,-3.0,,2024-06-13 16:00:00.000,-11.0,-91.0,-2161.0,-3.0,,2024-03-19 10:00:00.876,-2161.0
165,MEWUSDT,MEW,2024-06-17 14:00:00,,,2024-04-19 04:59:30.929,2024-04-19 08:00:03.224,MEWUSDT-2024-04.csv.gz,2024-03-30 12:00:00,Cat in a dogs world,tradable,2024-06-14,-3.0,,2024-06-13 16:00:00.000,,-94.0,-1422.0,-1898.0,,2024-03-30 12:00:00.000,-1898.0
167,ZROUSDT,ZRO,2024-06-20 14:00:00,2024-06-20,,2024-06-20 03:03:06.041,2024-06-20 11:30:01.553,ZROUSDT-2024-06.csv.gz,2024-06-20 12:00:00,LayerZero,tradable,2024-06-20,0.0,2024-06-20 12:00:00.006,2024-06-20 12:00:00.006,-14.0,-2.0,-2.5,-2.0,,2024-06-20 00:00:00.000,-14.0
181,DOGSUSDT,DOGS,2024-08-26 12:00:00,2024-08-26,,2024-08-26 12:00:00.908,2024-08-26 12:00:01.473,DOGSUSDT-2024-08.csv.gz,2024-08-26 12:00:00,DOGS,tradable,2024-08-26,0.0,2024-08-26 12:00:00.072,2024-08-26 12:00:00.072,-12.0,0.0,0.0,0.0,,2024-08-26 00:00:00.000,-12.0
187,NEIROETHUSDT,NEIROETH,2024-09-06 14:00:00,,,,,,,,,,,,,,,,,,,
191,UXLINKUSDT,UXLINK,2024-09-15 15:00:00,,,2024-07-18 08:00:00.901,2024-07-18 08:00:03.685,UXLINKUSDT-2024-07.csv.gz,2024-07-18 08:00:00,UxLink,tradable,2024-09-12,-3.0,,2024-09-11 16:00:00.000,,-95.0,-1423.0,-1423.0,,2024-07-18 08:00:00.000,-1423.0
197,CATIUSDT,CATI,2024-09-20 11:00:00,2024-09-20,,2024-09-20 10:00:00.535,2024-09-20 10:00:01.179,CATIUSDT-2024-09.csv.gz,2024-09-20 10:00:00,Catizen,tradable,2024-09-20,0.0,2024-09-20 10:00:00.406,2024-09-20 10:00:00.406,-11.0,-1.0,-1.0,-1.0,,2024-09-20 00:00:00.000,-11.0
200,HMSTRUSDT,HMSTR,2024-09-26 12:00:00,2024-09-26,,2024-09-26 12:00:00.591,2024-09-26 12:00:00.981,HMSTRUSDT-2024-09.csv.gz,2024-09-26 12:00:00,Hamster Kombat,tradable,2024-09-26,0.0,2024-09-26 12:00:00.083,2024-09-26 12:00:00.083,-12.0,0.0,0.0,0.0,,2024-09-26 00:00:00.000,-12.0
203,EIGENUSDT,EIGEN,2024-10-01 06:00:00,2024-10-01,,2024-10-01 04:10:00.566,2024-10-01 04:10:00.833,EIGENUSDT-2024-10.csv.gz,2024-10-01 04:15:00,EigenLayer,tradable,2024-10-01,0.0,2024-10-01 06:00:00.094,2024-10-01 06:00:00.094,-6.0,0.0,-1.8,-1.8,,2024-10-01 00:00:00.000,-6.0
205,1000CATUSDT,CAT,2024-10-21 12:00:00,,,2023-10-05 01:42:51.311,2023-10-05 10:00:04.048,CATUSDT-2023-10.csv.gz,,,,2024-10-25,4.0,2024-10-25 11:00:00.288,2024-10-25 11:00:00.288,,95.0,-9170.0,,,2023-10-05 10:00:04.048,-9170.0
206,SCRUSDT,SCR,2024-10-22 10:00:00,2024-10-11,,2024-10-22 08:00:00.882,2024-10-22 08:00:01.436,SCRUSDT-2024-10.csv.gz,2024-10-22 08:00:00,Scroll,tradable,2024-11-04,13.0,2024-11-04 08:00:00.270,2024-11-04 08:00:00.270,-274.0,310.0,-2.0,-2.0,,2024-10-11 00:00:00.000,-274.0
207,GOATUSDT,GOAT,2024-10-24 13:00:00,,,2024-11-13 10:00:00.647,2024-11-13 10:00:03.299,GOATUSDT-2024-11.csv.gz,2024-10-17 09:00:00,Goatseus Maximus,tradable,2024-12-12,49.0,2024-12-12 10:00:00.042,2024-12-12 10:00:00.042,,1173.0,477.0,-172.0,,2024-10-17 09:00:00.000,-172.0
208,MOODENGUSDT,MOODENG,2024-10-25 10:00:00,,,,,,2024-09-27 12:30:00,Moo Deng,tradable,2024-11-15,21.0,2024-11-15 12:00:00.008,2024-11-15 12:00:00.008,,506.0,,-669.5,,2024-09-27 12:30:00.000,-669.5
214,CETUSUSDT,CETUS,2024-11-06 14:00:00,2024-11-06,,,,,2023-05-10 10:00:00,Cetus Protocol,tradable,2024-11-03,-3.0,,2024-11-02 16:00:00.000,-14.0,-94.0,,-13108.0,,2023-05-10 10:00:00.000,-13108.0
217,GRASSUSDT,GRASS,2024-11-08 15:00:00,,,2024-10-28 14:00:00.673,2024-10-28 14:00:01.010,GRASSUSDT-2024-10.csv.gz,2024-10-28 14:00:00,Grass,tradable,2026-04-24,532.0,2026-04-24 14:00:03.834,2026-04-24 14:00:03.834,,12767.0,-265.0,-265.0,,2024-10-28 14:00:00.000,-265.0
220,PNUTUSDT,PNUT,2024-11-11 12:00:00,2024-11-11,,2024-11-22 10:00:00.745,2024-11-22 10:00:04.137,PNUTUSDT-2024-11.csv.gz,2024-11-05 14:00:00,Peanut the Squirrel,tradable,2024-11-11,0.0,2024-11-11 10:40:00.182,2024-11-11 10:40:00.182,-12.0,-1.3,262.0,-142.0,,2024-11-05 14:00:00.000,-142.0
226,SLERFUSDT,SLERF,2024-11-21 11:00:00,,,,,,,,,2024-11-18,-3.0,,2024-11-17 16:00:00.000,,-91.0,,,,2024-11-17 16:00:00.000,-91.0
231,MORPHOUSDT,MORPHO,2024-11-27 14:00:00,2025-10-03,,2024-11-21 10:00:01.958,2024-11-21 10:00:03.673,MORPHOUSDT-2024-11.csv.gz,2024-11-21 10:00:00,Morpho Labs,tradable,2024-11-24,-3.0,,2024-11-23 16:00:00.000,7426.0,-94.0,-148.0,-148.0,,2024-11-21 10:00:00.000,-148.0
237,MOVEUSDT,MOVE,2024-12-09 14:00:00,2024-12-09,,2024-12-09 12:00:00.689,2024-12-09 12:00:00.692,MOVEUSDT-2024-12.csv.gz,2024-12-09 12:00:00,Movement Network,tradable,2024-12-09,0.0,2024-12-09 12:00:00.079,2024-12-09 12:00:00.079,-14.0,-2.0,-2.0,-2.0,,2024-12-09 00:00:00.000,-14.0
238,VIRTUALUSDT,VIRTUAL,2024-12-10 12:00:00,2025-04-11,,2024-11-20 10:00:00.615,2024-11-20 10:00:02.887,VIRTUALUSDT-2024-11.csv.gz,2024-05-15 13:00:00,Virtuals Protocol,tradable,2025-10-28,322.0,2025-10-28 08:00:03.113,2025-10-28 08:00:03.113,2916.0,7724.0,-482.0,-5015.0,,2024-05-15 13:00:00.000,-5015.0
242,MEUSDT,ME,2024-12-10 17:00:00,2024-12-10,,2024-12-10 14:00:00.530,2024-12-10 14:00:00.533,MEUSDT-2024-12.csv.gz,2024-12-10 14:00:00,Magic Eden,tradable,2024-12-10,-1.0,2024-12-10 14:00:00.071,2024-12-10 14:00:00.071,-17.0,-3.0,-3.0,-3.0,,2024-12-10 00:00:00.000,-17.0
247,VANAUSDT,VANA,2024-12-16 13:00:00,2024-12-16,,2024-12-16 11:30:00.785,2024-12-16 11:30:02.181,VANAUSDT-2024-12.csv.gz,2024-12-16 11:30:00,Vana,tradable,,,,,-13.0,,-1.5,-1.5,,2024-12-16 00:00:00.000,-13.0
248,PENGUUSDT,PENGU,2024-12-17 16:00:00,2024-12-17,,2024-12-17 14:00:00.568,2024-12-17 14:00:00.573,PENGUUSDT-2024-12.csv.gz,2024-12-17 14:00:00,Pudgy Penguins,tradable,2024-12-17,-1.0,2024-12-17 14:00:00.063,2024-12-17 14:00:00.063,-16.0,-2.0,-2.0,-2.0,,2024-12-17 00:00:00.000,-16.0
251,FARTCOINUSDT,FARTCOIN,2024-12-20 18:00:00,,,,,,2024-12-19 09:30:00,Fartcoin,tradable,,,,,,,,-32.5,,2024-12-19 09:30:00.000,-32.5
260,AI16ZUSDT,AI16Z,2025-01-02 13:00:00,,,2025-01-06 08:00:02.507,2025-01-06 08:00:06.131,AI16ZUSDT-2025-01.csv.gz,,,,,,,,,,91.0,,,2025-01-06 08:00:06.131,91.0
259,GRIFFAINUSDT,GRIFFAIN,2025-01-02 13:00:00,,,,,,2024-12-19 14:00:00,GRIFFAIN,tradable,,,,,,,,-335.0,,2024-12-19 14:00:00.000,-335.0
261,ZEREBROUSDT,ZEREBRO,2025-01-02 14:00:00,,,2024-12-11 08:00:01.236,2024-12-11 08:00:02.607,ZEREBROUSDT-2024-12.csv.gz,2024-11-30 15:00:00,zerebro,tradable,,,,,,,-534.0,-791.0,,2024-11-30 15:00:00.000,-791.0
262,BIOUSDT,BIO,2025-01-03 12:00:00,2025-01-03,,,,,2025-01-03 10:00:00,Bio Protocol,tradable,2025-01-03,0.0,2025-01-03 10:15:00.041,2025-01-03 10:15:00.041,-12.0,-1.7,,-2.0,,2025-01-03 00:00:00.000,-12.0
263,ALCHUSDT,ALCH,2025-01-07 11:00:00,,,2024-12-26 10:00:00.685,2024-12-26 10:00:03.682,ALCHUSDT-2024-12.csv.gz,2025-01-03 07:00:00,Alchemist AI,tradable,,,,,,,-289.0,-100.0,,2024-12-26 10:00:03.682,-289.0
266,SONICUSDT,SONIC,2025-01-08 07:00:00,,,2025-01-07 12:00:00.947,2025-01-07 12:00:01.751,SONICUSDT-2025-01.csv.gz,2025-01-07 12:00:00,Sonic SVM,tradable,2025-01-07,-1.0,2025-01-07 12:00:00.060,2025-01-07 12:00:00.060,,-19.0,-19.0,-19.0,,2025-01-07 12:00:00.000,-19.0
270,SOLVUSDT,SOLV,2025-01-17 12:00:00,2025-01-17,,2025-01-17 10:00:01.300,2025-01-17 10:00:01.301,SOLVUSDT-2025-01.csv.gz,2025-01-17 10:00:00,Solv Protocol,tradable,,,,,-12.0,,-2.0,-2.0,,2025-01-17 00:00:00.000,-12.0
273,TRUMPUSDT,TRUMP,2025-01-18 13:00:00,2025-01-19,,2025-01-18 10:00:00.949,2025-01-18 10:00:01.804,TRUMPUSDT-2025-01.csv.gz,2025-01-18 13:00:00,OFFICIAL TRUMP,tradable,2025-01-19,1.0,2025-01-19 05:00:00.091,2025-01-19 05:00:00.091,11.0,16.0,-3.0,0.0,,2025-01-18 10:00:01.804,-3.0
276,ANIMEUSDT,ANIME,2025-01-23 17:00:00,2025-01-23,,2025-01-23 14:00:00.668,2025-01-23 14:00:00.700,ANIMEUSDT-2025-01.csv.gz,2025-01-23 14:00:00,Animecoin,tradable,2025-01-23,-1.0,2025-01-23 14:00:00.020,2025-01-23 14:00:00.020,-17.0,-3.0,-3.0,-3.0,,2025-01-23 00:00:00.000,-17.0
278,VINEUSDT,VINE,2025-01-24 10:00:00,,,,,,2025-01-23 10:00:00,Vine,tradable,2025-01-26,2.0,2025-01-26 10:00:00.121,2025-01-26 10:00:00.121,,48.0,,-24.0,,2025-01-23 10:00:00.000,-24.0
280,BERAUSDT,BERA,2025-02-06 15:00:00,2025-02-06,,2025-02-06 13:00:00.728,2025-02-06 13:00:02.188,BERAUSDT-2025-02.csv.gz,2025-02-06 13:00:00,Berachain,tradable,2025-02-06,0.0,2025-02-06 13:00:00.151,2025-02-06 13:00:00.151,-15.0,-2.0,-2.0,-2.0,,2025-02-06 00:00:00.000,-15.0
282,LAYERUSDT,LAYER,2025-02-11 15:00:00,2025-02-11,,2025-02-11 14:00:00.709,2025-02-11 14:00:02.650,LAYERUSDT-2025-02.csv.gz,2025-02-11 14:00:00,Solayer,tradable,2025-04-25,73.0,2025-04-25 10:00:00.178,2025-04-25 10:00:00.178,-15.0,1747.0,-1.0,-1.0,,2025-02-11 00:00:00.000,-15.0
285,IPUSDT,IP,2025-02-13 17:00:00,,,2025-02-13 09:00:00.640,2025-02-13 09:00:00.654,IPUSDT-2025-02.csv.gz,,,,2025-02-13,-1.0,2025-02-13 09:00:00.092,2025-02-13 09:00:00.092,,-8.0,-8.0,,,2025-02-13 09:00:00.092,-8.0
288,KAITOUSDT,KAITO,2025-02-20 13:00:00,2025-02-20,,,,,2025-02-20 13:00:00,Kaito,tradable,2025-02-20,0.0,2025-02-20 13:00:00.089,2025-02-20 13:00:00.089,-13.0,0.0,,0.0,,2025-02-20 00:00:00.000,-13.0
299,BRUSDT,BR,2025-03-21 12:00:00,,,2025-03-20 13:00:00.458,2025-03-20 13:00:03.772,BRUSDT-2025-03.csv.gz,2025-03-20 13:00:00,Bedrock,tradable,,,,,,,-23.0,-23.0,,2025-03-20 13:00:00.000,-23.0
304,PARTIUSDT,PARTI,2025-03-25 13:00:00,2025-03-25,,2025-03-25 13:00:00.509,2025-03-25 13:00:02.751,PARTIUSDT-2025-03.csv.gz,2025-03-25 13:00:00,Particle Network,tradable,2025-03-25,0.0,2025-03-25 13:00:00.072,2025-03-25 13:00:00.072,-13.0,0.0,0.0,0.0,,2025-03-25 00:00:00.000,-13.0
305,JELLYJELLYUSDT,JELLYJELLY,2025-03-26 16:00:00,,,,,,2025-01-30 06:00:00,jelly-my-jelly,tradable,,,,,,,,-1330.0,,2025-01-30 06:00:00.000,-1330.0
310,GUNUSDT,GUN,2025-03-31 13:00:00,2025-03-31,,,,,2025-03-31 13:00:00,GUNZ,tradable,,,,,-13.0,,,0.0,,2025-03-31 00:00:00.000,-13.0
311,ATHUSDT,ATH,2025-04-02 15:00:00,,,2024-06-12 06:54:55.747,2024-06-12 10:00:01.187,ATHUSDT-2024-06.csv.gz,2024-06-12 10:00:00,Aethir,tradable,2025-03-30,-3.0,,2025-03-29 16:00:00.000,,-95.0,-7061.0,-7061.0,,2024-06-12 10:00:00.000,-7061.0
314,PROMPTUSDT,PROMPT,2025-04-11 06:00:00,,,,,,2025-04-10 13:00:00,Wayfinder,tradable,2025-04-10,-1.0,2025-04-10 13:00:00.361,2025-04-10 13:00:00.361,,-17.0,,-17.0,,2025-04-10 13:00:00.000,-17.0
320,WCTUSDT,WCT,2025-04-15 11:00:00,2025-04-15,,2025-04-15 11:00:00.371,2025-04-15 11:00:00.398,WCTUSDT-2025-04.csv.gz,2025-04-15 11:00:00,WalletConnect,tradable,2025-04-15,0.0,2025-04-15 11:00:00.080,2025-04-15 11:00:00.080,-11.0,0.0,0.0,0.0,,2025-04-15 00:00:00.000,-11.0
327,MEMEFIUSDT,MEMEFI,2025-04-25 07:00:00,,,2024-11-22 13:00:00.509,2024-11-22 13:00:01.990,MEMEFIUSDT-2024-11.csv.gz,,,,2025-04-22,-3.0,,2025-04-21 16:00:00.000,,-87.0,-3690.0,,,2024-11-22 13:00:01.990,-3690.0
329,SIGNUSDT,SIGN,2025-04-28 11:00:00,2025-04-28,,2025-04-28 11:00:00.529,2025-04-28 11:00:00.529,SIGNUSDT-2025-04.csv.gz,2025-04-28 11:00:00,Sign,tradable,,,,,-11.0,,0.0,0.0,,2025-04-28 00:00:00.000,-11.0
349,SOONUSDT,SOON,2025-05-23 08:00:00,,,,,,2025-05-23 09:00:00,Soon,tradable,,,,,,,,1.0,,2025-05-23 09:00:00.000,1.0
350,HUMAUSDT,HUMA,2025-05-26 13:00:00,2025-05-26,,2025-05-26 13:00:00.650,2025-05-26 13:00:02.091,HUMAUSDT-2025-05.csv.gz,2025-05-26 13:00:00,Huma Finance,tradable,2025-05-26,0.0,2025-05-26 13:00:00.087,2025-05-26 13:00:00.087,-13.0,0.0,0.0,0.0,,2025-05-26 00:00:00.000,-13.0
351,AUSDT,A,2025-05-28 08:00:00,2025-05-28,,2025-05-28 08:00:02.536,2025-05-28 08:00:06.370,AUSDT-2025-05.csv.gz,2025-05-28 08:00:00,Vaulta,tradable,2025-05-29,1.0,2025-05-29 10:00:00.247,2025-05-29 10:00:00.247,-8.0,26.0,0.0,0.0,,2025-05-28 00:00:00.000,-8.0
352,SOPHUSDT,SOPH,2025-05-28 13:00:00,2025-05-28,,,,,2025-05-28 13:00:00,Sophon,tradable,2025-05-28,0.0,2025-05-28 13:00:00.294,2025-05-28 13:00:00.294,-13.0,0.0,,0.0,,2025-05-28 00:00:00.000,-13.0
353,MERLUSDT,MERL,2025-05-29 08:00:00,,,2024-04-19 05:00:05.269,2024-04-19 10:00:00.738,MERLUSDT-2024-04.csv.gz,2024-04-19 10:00:00,Merlin Chain,tradable,2025-05-26,-3.0,,2025-05-25 16:00:00.000,,-88.0,-9718.0,-9718.0,,2024-04-19 10:00:00.000,-9718.0
354,HYPEUSDT,HYPE,2025-05-30 10:00:00,,,2025-07-11 09:00:02.761,2025-07-11 09:00:07.359,HYPEUSDT-2025-07.csv.gz,2024-12-23 06:00:00,Hyperliquid,tradable,2025-11-04,158.0,2025-11-04 14:00:01.042,2025-11-04 14:00:01.042,,3796.0,1007.0,-3796.0,,2024-12-23 06:00:00.000,-3796.0
357,PUFFERUSDT,PUFFER,2025-06-04 08:00:00,,,2024-10-14 12:00:00.559,2024-10-14 12:00:00.589,PUFFERUSDT-2024-10.csv.gz,2024-10-14 12:00:00,Puffer,tradable,,,,,,,-5588.0,-5588.0,,2024-10-14 12:00:00.000,-5588.0
