sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status
PYTH-USDT-SWAP,PYTH,2023-11-20 14:55:46.705,2023-11-20 14:55:00.712,,normal,2023-11-20 08:33:38.124,2023-11-20 14:00:01.026,PYTHUSDT-2023-11.csv.gz,2023-11-20,0.0,2023-11-20 14:30:00.476,2024-02-02,2023-11-20 14:00:00,Pyth Network,tradable
AUCTION-USDT-SWAP,AUCTION,2023-12-01 07:55:45.766,2023-12-01 07:55:00.613,,normal,,,,2023-11-28,-3.0,,2021-02-25,2021-02-06 10:00:00,BounceAuction,tradable
RON-USDT-SWAP,RON,2023-12-11 10:00:05.034,,,,,,,2023-12-08,-3.0,,,2022-01-28 02:00:00,Ronin Network,tradable
CTC-USDT-SWAP,CTC,2023-12-14 07:56:05.233,,,,2022-11-10 01:05:25.666,2022-11-10 10:08:15.566,CTCUSDT-2022-11.csv.gz,2023-12-11,-3.0,,,2022-01-28 04:00:00,Creditcoin,tradable
TURBO-USDT-SWAP,TURBO,2023-12-14 09:56:01.537,2023-12-14 09:55:00.612,,normal,,,,2023-12-11,-3.0,,2024-09-16,2023-05-05 04:00:00,Turbo,tradable
METIS-USDT-SWAP,METIS,2023-12-28 09:58:09.377,2023-12-28 09:55:00.614,,normal,,,,2023-12-25,-3.0,,2024-03-11,2021-05-13 13:00:00,Metis Token,tradable
DMAIL-USDT-SWAP,DMAIL,2024-01-30 10:59:46.206,,,,2024-01-30 03:38:27.357,2024-01-30 10:00:01.842,DMAILUSDT-2024-01.csv.gz,2024-01-30,0.0,2024-01-30 10:00:00.003,,,,
FLR-USDT-SWAP,FLR,2024-02-06 08:29:43.108,,,,2023-01-09 15:19:08.523,2023-01-10 04:05:05.287,FLRUSDT-2023-01.csv.gz,2024-02-03,-3.0,,,2023-01-10 04:00:00,Flare Network,tradable
GPT-USDT-SWAP,GPT,2024-02-28 12:55:35.471,,,,2023-03-10 02:48:07.433,2023-03-10 11:00:05.253,GPTUSDT-2023-03.csv.gz,2024-02-28,0.0,2024-02-28 12:00:00.003,,,,
VELO-USDT-SWAP,VELO,2024-03-12 08:26:16.707,,,,2023-05-29 08:25:19.649,2023-05-30 08:00:05.898,VELOUSDT-2023-05.csv.gz,2024-03-09,-3.0,,,2021-04-02 10:00:00,Velo,tradable
BONE-USDT-SWAP,BONE,2024-03-15 08:27:07.999,,,,,,,2024-03-12,-3.0,,,2023-02-24 04:00:00,Bone ShibaSwap,tradable
GF-USDT-SWAP,GF,2024-03-15 10:28:21.420,,,,,,,2024-03-12,-3.0,,,2026-03-06 12:00:00,GoldFinger,tradable
ZK-USDT-SWAP,ZK,2024-03-19 10:26:24.186,2024-06-18 08:25:00.579,,normal,2024-03-19 02:40:43.254,2024-03-19 10:00:00.876,ZKUSDT-2024-03.csv.gz,2024-03-19,0.0,2024-03-19 10:00:00.011,2024-06-17,2024-06-17 08:00:00,zkSync,tradable
VENOM-USDT-SWAP,VENOM,2024-03-25 08:27:09.085,,,,2024-03-25 07:15:48.922,2024-03-25 08:00:00.814,VENOMUSDT-2024-03.csv.gz,2024-03-25,0.0,2024-03-25 08:00:00.003,,2024-03-25 08:00:00,VENOM,tradable
ZEUS-USDT-SWAP,ZEUS,2024-04-05 08:29:26.443,,,,,,,2024-04-04,-1.0,2024-04-04 14:00:00.032,,2024-04-05 03:00:00,Zeus Network,tradable
BLOCK-USDT-SWAP,BLOCK,2024-04-11 12:26:42.327,,,,2024-04-10 14:44:33.495,2024-04-11 12:00:00.701,BLOCKUSDT-2024-04.csv.gz,2024-04-11,0.0,2024-04-11 12:00:00.005,,,,
FOXY-USDT-SWAP,FOXY,2024-04-12 08:26:39.968,,,,2024-04-12 05:07:52.689,2024-04-12 08:00:00.962,FOXYUSDT-2024-04.csv.gz,2024-04-12,0.0,2024-04-12 08:00:00.003,,2024-04-12 08:00:00,Foxy Linea,tradable
MEW-USDT-SWAP,MEW,2024-04-15 08:25:37.061,2024-04-15 08:25:00.531,,normal,2024-04-19 04:59:30.929,2024-04-19 08:00:03.224,MEWUSDT-2024-04.csv.gz,2024-04-15,0.0,2024-04-15 08:00:00.014,,2024-03-30 12:00:00,Cat in a dogs world,tradable
PRCL-USDT-SWAP,PRCL,2024-04-16 13:26:46.700,,,,2024-04-16 03:13:22.332,2024-04-16 13:00:00.618,PRCLUSDT-2024-04.csv.gz,2024-04-16,0.0,2024-04-16 13:00:00.003,,2024-04-16 13:00:00,Parcl,tradable
MERL-USDT-SWAP,MERL,2024-04-19 10:26:04.126,2024-04-19 10:25:00.606,,normal,2024-04-19 05:00:05.269,2024-04-19 10:00:00.738,MERLUSDT-2024-04.csv.gz,2024-04-19,0.0,2024-04-19 10:00:00.003,,2024-04-19 10:00:00,Merlin Chain,tradable
MSN-USDT-SWAP,MSN,2024-04-29 06:25:55.869,,,,,,,2024-04-29,0.0,2024-04-29 06:00:00.003,,,,
ZERO-USDT-SWAP,ZERO,2024-05-06 08:27:23.540,,,,2024-05-06 06:22:31.482,2024-05-06 08:00:00.693,ZEROUSDT-2024-05.csv.gz,2024-05-06,0.0,2024-05-06 08:00:00.003,,,,
ZENT-USDT-SWAP,ZENT,2024-05-09 08:28:49.479,,,,2024-04-30 03:33:17.023,2024-04-30 10:00:00.839,ZENTUSDT-2024-04.csv.gz,2024-05-06,-3.0,,,2024-05-07 09:00:00,Zentry,tradable
ULTI-USDT-SWAP,ULTI,2024-06-07 07:25:56.057,,,,2024-06-06 07:12:37.489,2024-06-06 10:00:00.915,ULTIUSDT-2024-06.csv.gz,2024-06-06,-1.0,2024-06-06 10:00:00.003,,,,
ATH-USDT-SWAP,ATH,2024-06-13 03:59:55.691,2024-06-13 03:55:00.308,,normal,2024-06-12 06:54:55.747,2024-06-12 10:00:01.187,ATHUSDT-2024-06.csv.gz,2024-06-12,-1.0,2024-06-12 10:00:00.004,,2024-06-12 10:00:00,Aethir,tradable
UXLINK-USDT-SWAP,UXLINK,2024-07-18 09:01:19.572,,,,2024-07-18 08:00:00.901,2024-07-18 08:00:03.685,UXLINKUSDT-2024-07.csv.gz,2024-07-18,0.0,2024-07-18 08:00:00.150,,2024-07-18 08:00:00,UxLink,tradable
MAX-USDT-SWAP,MAX,2024-08-06 08:30:41.320,,,,,,,2024-08-05,-1.0,2024-08-05 10:00:00.106,,2025-08-01 14:00:00,Mastercard xStock,tradable
CAT-USDT-SWAP,CAT,2024-09-06 10:30:53.123,,,,2023-10-05 01:42:51.311,2023-10-05 10:00:04.048,CATUSDT-2023-10.csv.gz,2024-10-25,49.0,2024-10-25 11:00:00.288,,,,
MOODENG-USDT-SWAP,MOODENG,2024-10-03 07:00:23.946,2024-10-03 07:00:02.849,,normal,,,,2024-11-15,43.0,2024-11-15 12:00:00.008,,2024-09-27 12:30:00,Moo Deng,tradable
PUFFER-USDT-SWAP,PUFFER,2024-10-14 12:30:22.791,,,,2024-10-14 12:00:00.559,2024-10-14 12:00:00.589,PUFFERUSDT-2024-10.csv.gz,,,,,2024-10-14 12:00:00,Puffer,tradable
X-USDT-SWAP,X,2024-10-25 09:30:59.750,,,,2024-10-24 12:00:00.563,2024-10-24 12:00:00.563,XUSDT-2024-10.csv.gz,2024-10-24,-1.0,2024-10-24 12:00:00.268,,,,
GRASS-USDT-SWAP,GRASS,2024-10-28 14:30:18.199,2024-10-28 14:30:00.597,,normal,2024-10-28 14:00:00.673,2024-10-28 14:00:01.010,GRASSUSDT-2024-10.csv.gz,,,,,2024-10-28 14:00:00,Grass,tradable
DOG-USDT-SWAP,DOG,2024-11-19 06:00:23.865,,,,,,,,,,,2024-04-25 12:00:00,Dog,tradable
OL-USDT-SWAP,OL,2024-11-22 09:00:52.228,2025-10-29 10:15:00.938,,normal,2024-11-19 13:00:01.236,2024-11-19 13:00:01.240,OLUSDT-2024-11.csv.gz,2024-11-19,-3.0,,,2024-11-19 13:00:00,Open Loot,tradable
MEMEFI-USDT-SWAP,MEMEFI,2024-11-22 15:00:45.522,,,,2024-11-22 13:00:00.509,2024-11-22 13:00:01.990,MEMEFIUSDT-2024-11.csv.gz,2024-11-22,0.0,2024-11-22 13:00:00.017,,,,
MORPHO-USDT-SWAP,MORPHO,2024-11-25 10:01:21.218,2024-11-25 10:00:00.980,,normal,2024-11-21 10:00:01.958,2024-11-21 10:00:03.673,MORPHOUSDT-2024-11.csv.gz,2024-11-22,-3.0,,2025-10-03,2024-11-21 10:00:00,Morpho Labs,tradable
MAJOR-USDT-SWAP,MAJOR,2024-11-28 13:00:34.025,,,,2024-11-28 12:00:00.594,2024-11-28 12:00:00.848,MAJORUSDT-2024-11.csv.gz,2024-11-28,0.0,2024-11-28 12:00:00.050,,2024-11-28 12:00:00,Major,tradable
ZKJ-USDT-SWAP,ZKJ,2024-12-06 09:00:34.870,,,,2024-06-13 08:00:11.818,2024-06-13 08:00:30.736,ZKJUSDT-2024-06.csv.gz,2024-12-03,-3.0,,,2024-03-19 10:00:00,Polyhedra Network,tradable
SUNDOG-USDT-SWAP,SUNDOG,2024-12-11 10:15:23.500,,,,2024-09-11 10:00:34.322,2024-09-11 10:00:37.481,SUNDOGUSDT-2024-09.csv.gz,,,,,2024-08-21 12:00:00,Sundog,tradable
AI16Z-USDT-SWAP,AI16Z,2024-12-20 09:15:24.996,,,,2025-01-06 08:00:02.507,2025-01-06 08:00:06.131,AI16ZUSDT-2025-01.csv.gz,,,,,,,
GRIFFAIN-USDT-SWAP,GRIFFAIN,2024-12-27 07:01:16.836,,,,,,,,,,,2024-12-19 14:00:00,GRIFFAIN,tradable
ZEREBRO-USDT-SWAP,ZEREBRO,2024-12-27 07:15:19.933,,,,2024-12-11 08:00:01.236,2024-12-11 08:00:02.607,ZEREBROUSDT-2024-12.csv.gz,,,,,2024-11-30 15:00:00,zerebro,tradable
ALCH-USDT-SWAP,ALCH,2025-01-03 07:15:15.135,,,,2024-12-26 10:00:00.685,2024-12-26 10:00:03.682,ALCHUSDT-2024-12.csv.gz,,,,,2025-01-03 07:00:00,Alchemist AI,tradable
DUCK-USDT-SWAP,DUCK,2025-01-16 11:00:19.661,,,,,,,2025-01-16,0.0,2025-01-16 10:00:00.007,,2025-01-16 10:00:00,DuckChain,tradable
NC-USDT-SWAP,NC,2025-01-17 11:00:57.041,,,,,,,2025-01-17,0.0,2025-01-17 10:00:00.072,,2025-01-17 10:00:00,Nodecoin,tradable
J-USDT-SWAP,J,2025-01-22 11:00:25.689,,,,2025-01-22 10:00:00.636,2025-01-22 10:00:01.864,JUSDT-2025-01.csv.gz,2025-01-22,0.0,2025-01-22 10:00:00.050,,,,
BUZZ-USDT-SWAP,BUZZ,2025-01-27 11:15:23.615,,,,,,,,,,,,,
PI-USDT-SWAP,PI,2025-02-20 09:00:30.853,2025-02-20 09:00:00.388,,normal,,,,2025-02-20,0.0,2025-02-20 08:00:00.001,,2025-02-20 08:00:00,Pi Network,tradable
HYPE-USDT-SWAP,HYPE,2025-02-21 07:00:39.397,2025-02-21 07:00:00.506,,normal,2025-07-11 09:00:02.761,2025-07-11 09:00:07.359,HYPEUSDT-2025-07.csv.gz,2025-11-04,256.0,2025-11-04 14:00:01.042,,2024-12-23 06:00:00,Hyperliquid,tradable
LAUNCHCOIN-USDT-SWAP,LAUNCHCOIN,2025-06-03 10:15:58.882,,,,,,,,,,,,,
