sym,t0_exact,cls,newtok,gate_name,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,gap_h,verdict
FOXY-USDT-SWAP,2024-04-12 08:26:39.968,okx_only,True,Foxy Linea,-0.4,-0.4,-0.4,,,-0.4,spot existed at/before perp start
MEW-USDT-SWAP,2024-04-15 08:25:37.061,okx_first,True,Cat in a dogs world,-0.4,95.6,-380.4,,,-380.4,spot existed at/before perp start
PRCL-USDT-SWAP,2024-04-16 13:26:46.700,okx_only,True,Parcl,-0.4,-0.4,-0.4,,,-0.4,spot existed at/before perp start
MERL-USDT-SWAP,2024-04-19 10:26:04.126,okx_first,True,Merlin Chain,-0.4,-0.4,-0.4,,,-0.4,spot existed at/before perp start
MSN-USDT-SWAP,2024-04-29 06:25:55.869,okx_only,True,,-0.4,,,,,-0.4,spot existed at/before perp start
ZERO-USDT-SWAP,2024-05-06 08:27:23.540,okx_only,True,,-0.5,-0.5,,,,-0.5,spot existed at/before perp start
ZENT-USDT-SWAP,2024-05-09 08:28:49.479,okx_only,True,Zentry,-88.5,-214.5,-47.5,,,-214.5,spot existed at/before perp start
ULTI-USDT-SWAP,2024-06-07 07:25:56.057,okx_only,True,,-21.4,-21.4,,,,-21.4,spot existed at/before perp start
ATH-USDT-SWAP,2024-06-13 03:59:55.691,okx_first,True,Aethir,-18.0,-18.0,-18.0,,,-18.0,spot existed at/before perp start
UXLINK-USDT-SWAP,2024-07-18 09:01:19.572,okx_first,True,UxLink,-1.0,-1.0,-1.0,,,-1.0,spot existed at/before perp start
MAX-USDT-SWAP,2024-08-06 08:30:41.320,okx_only,True,Mastercard xStock,-22.5,,8645.5,,,-22.5,spot existed at/before perp start
CAT-USDT-SWAP,2024-09-06 10:30:53.123,okx_first,True,,1176.5,-8088.5,,,,-8088.5,OKX spot +1176h; Bybit CATUSDT -8088h (possibly other CAT); DEX token; not a pre-market contract (uncertain)
MOODENG-USDT-SWAP,2024-10-03 07:00:23.946,okx_first,True,Moo Deng,1037.0,,-138.5,,,-138.5,OKX spot +1037h but Gate -138h; not pre-market
PUFFER-USDT-SWAP,2024-10-14 12:30:22.791,okx_first,True,Puffer,,-0.5,-0.5,,,-0.5,spot existed at/before perp start
X-USDT-SWAP,2024-10-25 09:30:59.750,okx_only,True,,-21.5,-21.5,,,,-21.5,spot existed at/before perp start
GRASS-USDT-SWAP,2024-10-28 14:30:18.199,okx_first,True,Grass,,-0.5,-0.5,,,-0.5,spot existed at/before perp start
DOG-USDT-SWAP,2024-11-19 06:00:23.865,okx_only,True,Dog,,,-4986.0,,,-4986.0,spot existed at/before perp start
OL-USDT-SWAP,2024-11-22 09:00:52.228,okx_first,True,Open Loot,-89.0,-68.0,-68.0,,,-89.0,spot existed at/before perp start
