sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status,okx_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,spot_min,gap_h,cls,newtok
BUZZ-USDT-SWAP,BUZZ,2025-01-27 11:15:23.615,,,,,,,,,,,,,,,,,,,,,,okx_only,True
PI-USDT-SWAP,PI,2025-02-20 09:00:30.853,2025-02-20 09:00:00.388,,normal,,,,2025-02-20,0.0,2025-02-20 08:00:00.001,,2025-02-20 08:00:00,Pi Network,tradable,2025-02-20 08:00:00.001,-1.0,,-1.0,,,2025-02-20 08:00:00.000,-1.0,okx_only,True
HYPE-USDT-SWAP,HYPE,2025-02-21 07:00:39.397,2025-02-21 07:00:00.506,,normal,2025-07-11 09:00:02.761,2025-07-11 09:00:07.359,HYPEUSDT-2025-07.csv.gz,2025-11-04,256.0,2025-11-04 14:00:01.042,,2024-12-23 06:00:00,Hyperliquid,tradable,2025-11-04 14:00:01.042,6151.0,3362.0,-1441.0,,,2024-12-23 06:00:00.000,-1441.0,okx_first,True
LAUNCHCOIN-USDT-SWAP,LAUNCHCOIN,2025-06-03 10:15:58.882,,,,,,,,,,,,,,,,,,,,,,okx_only,True
USELESS-USDT-SWAP,USELESS,2025-07-25 10:00:27.052,2025-07-25 10:00:00.380,,normal,,,,,,,,2025-07-11 10:00:00,Useless Coin,tradable,,,,-336.0,,,2025-07-11 10:00:00.000,-336.0,okx_first,True
TESTPM002-USDT-SWAP,TESTPM002,2025-08-20 06:43:37.380,,,,,,,,,,,,,,,,,,,,,,okx_only,True
OKB-USDT-SWAP,OKB,2025-09-04 02:00:37.825,2025-09-04 02:00:00.395,,normal,,,,2025-09-01,-3.0,,,2020-02-18 10:35:00,OKB,tradable,2025-08-31 16:00:00.000,-82.0,,-48591.4,,,2020-02-18 10:35:00.000,-48591.4,okx_only,False
MET-USDT-SWAP,MET,2025-10-10 08:15:42.974,2025-10-10 08:15:00.254,2025-10-23 14:30:00,normal,2025-10-23 14:00:00.700,2025-10-23 14:00:04.691,METUSDT-2025-10.csv.gz,2025-10-23,13.0,2025-10-23 14:00:00.088,2025-11-13,2025-10-23 14:00:00,Meteora,tradable,2025-10-23 14:00:00.088,317.7,317.7,317.7,807.7,318.2,2025-10-23 14:00:00.000,317.7,okx_first,True
PIGGY-USDT-SWAP,PIGGY,2025-10-29 08:00:31.936,,,,,,,,,,,2025-10-28 12:00:00,Piggycell,tradable,,,,-20.0,,,2025-10-28 12:00:00.000,-20.0,okx_only,True
TRIA-USDT-SWAP,TRIA,2026-02-05 07:30:00.746,2026-02-05 07:30:00.000,,normal,2026-02-03 10:00:00.458,2026-02-03 10:00:00.460,TRIAUSDT-2026-02.csv.gz,,,,,,,,,,-45.5,,,,2026-02-03 10:00:00.460,-45.5,okx_first,True
UP-USDT-SWAP,UP,2026-04-08 11:00:02.103,2026-04-08 11:00:00.000,,normal,,,,,,,,2026-04-11 07:00:00,Unitas,tradable,,,,68.0,,,2026-04-11 07:00:00.000,68.0,okx_only,True
OFC-USDT-SWAP,OFC,2026-04-09 11:00:22.847,2026-04-09 11:00:00.000,,normal,,,,2026-04-09,0.0,2026-04-09 10:10:10.073,,2026-04-09 10:00:00,One Football,tradable,2026-04-09 10:10:10.073,-0.8,,-1.0,,,2026-04-09 10:00:00.000,-1.0,okx_only,True
PROS-USDT-SWAP,PROS,2026-04-28 14:00:00.191,2026-04-28 14:00:00.000,,normal,,,,2026-05-13,15.0,2026-05-13 10:00:02.348,2022-09-16,,,,2026-05-13 10:00:02.348,356.0,,,-31694.0,,2022-09-16 00:00:00.000,-31694.0,okx_only,False
BLEND-USDT-SWAP,BLEND,2026-04-29 10:00:02.017,2026-04-29 10:00:00.000,,normal,2026-04-24 13:00:00.572,2026-04-24 13:00:00.595,BLENDUSDT-2026-04.csv.gz,,,,,2026-04-29 08:00:00,Fluent,tradable,,,-117.0,-2.0,,,2026-04-24 13:00:00.595,-117.0,okx_only,True
GRAM-USDT-SWAP,GRAM,2026-06-17 10:30:02.885,2026-06-17 10:30:00.000,,normal,2026-06-22 08:01:03.167,2026-06-22 08:01:58.222,GRAMUSDT-2026-06.csv.gz,2026-06-17,0.0,2026-06-17 10:00:05.676,2026-07-02,2026-06-16 14:00:00,GRAM (prev. Toncoin),tradable,2026-06-17 10:00:05.676,-0.5,117.5,-20.5,349.5,,2026-06-16 14:00:00.000,-20.5,okx_first,True
RE-USDT-SWAP,RE,2026-06-17 10:30:14.752,2026-06-17 10:30:00.000,2026-06-18 14:20:00,normal,,,,2026-06-18,1.0,2026-06-18 14:00:01.883,2026-06-18,2026-06-18 14:00:00,Re,tradable,2026-06-18 14:00:01.883,27.5,,27.5,13.5,27.8,2026-06-18 00:00:00.000,13.5,okx_first,True
O-USDT-SWAP,O,2026-06-17 16:30:00.852,2026-06-17 16:30:00.000,,normal,,,,,,,,2026-06-17 16:00:00,o1.exchange,tradable,,,,-0.5,,,2026-06-17 16:00:00.000,-0.5,okx_first,True
NES-USDT-SWAP,NES,2026-06-24 13:30:01.259,2026-06-24 13:30:00.000,,normal,,,,2026-06-24,0.0,2026-06-24 13:00:03.837,,2026-07-01 10:00:00,NESA,tradable,2026-06-24 13:00:03.837,-0.5,,164.5,,,2026-06-24 13:00:03.837,-0.5,okx_only,True
DATA-USDT-SWAP,DATA,2026-07-02 12:30:02.421,2026-07-02 12:30:00.000,,normal,2026-07-09 08:25:37.212,2026-07-09 08:26:03.105,DATAUSDT-2026-07.csv.gz,2026-07-02,0.0,2026-07-02 12:00:04.777,2018-06-08,2026-06-30 13:00:00,DATA Network,tradable,2026-07-02 12:00:04.777,-0.5,163.9,-47.5,-70716.5,,2018-06-08 00:00:00.000,-70716.5,okx_only,False
AEON-USDT-SWAP,AEON,2026-07-27 11:30:37.205,2026-07-27 11:30:00.000,,normal,,,,2026-07-27,0.0,2026-07-27 11:00:08.523,,2026-07-27 11:00:00,AEON,tradable,2026-07-27 11:00:08.523,-0.5,,-0.5,,,2026-07-27 11:00:00.000,-0.5,okx_only,True
DOS-USDT-SWAP,DOS,2026-08-10 12:00:00.783,2026-08-10 12:00:00.000,,normal,,,,2026-08-13,3.0,2026-08-13 10:00:06.278,,2026-08-10 11:00:00,DAPPOS,tradable,2026-08-13 10:00:06.278,70.0,,-1.0,,,2026-08-10 11:00:00.000,-1.0,okx_first,True
CP-USDT-SWAP,CP,2026-09-02 15:40:05.239,2026-09-02 15:40:00.000,,normal,,,,2026-09-02,0.0,2026-09-02 14:30:04.423,,2026-09-02 15:00:00,Cluster Protocol,tradable,2026-09-02 14:30:04.423,-1.2,,-0.7,,,2026-09-02 14:30:04.423,-1.2,okx_only,True
CASHCAT-USDT-SWAP,CASHCAT,2026-09-03 03:30:00.382,2026-09-03 03:30:00.000,,normal,,,,,,,,2026-08-25 08:00:00,Cash Cat,tradable,,,,-211.5,,,2026-08-25 08:00:00.000,-211.5,okx_only,True
DGAI-USDT-SWAP,DGAI,2026-09-03 03:00:02.142,2026-09-03 03:00:00.000,,normal,,,,,,,,2026-08-24 08:00:00,DGrid AI,tradable,,,,-235.0,,,2026-08-24 08:00:00.000,-235.0,okx_only,True
PONS-USDT-SWAP,PONS,2026-09-05 03:00:04.739,2026-09-05 03:00:00.000,,normal,,,,2026-09-15,10.0,2026-09-15 14:30:06.881,,2026-08-27 09:00:00,Pons,tradable,2026-09-15 14:30:06.881,251.5,,-210.0,,,2026-08-27 09:00:00.000,-210.0,okx_only,True
CNPY-USDT-SWAP,CNPY,2026-09-07 13:00:00.559,2026-09-07 13:00:00.000,,normal,,,,,,,,2026-09-07 12:00:00,Canopy,tradable,,,,-1.0,,,2026-09-07 12:00:00.000,-1.0,okx_only,True
KII-USDT-SWAP,KII,2026-09-24 11:00:00.620,2026-09-24 11:00:00.000,,normal,2026-08-14 13:00:00.533,2026-08-14 13:00:00.533,KIIUSDT-2026-08.csv.gz,,,,,,,,,,-982.0,,,,2026-08-14 13:00:00.533,-982.0,okx_only,True
