coin,t,side,dev_bp,model_b0_bp,model_net_bp,fund_bp,hold_min,close_basis_bp,notl_1s_perp_in,notl_1s_spot_in,net_touch_0.0,b0_0.0,net_w20k_0.0,fillms_w20k_0.0,net_w100k_0.0,fillms_w100k_0.0,net_w500k_0.0,fillms_w500k_0.0,net_touch_0.1,b0_0.1,net_w20k_0.1,fillms_w20k_0.1,net_w100k_0.1,fillms_w100k_0.1,net_w500k_0.1,fillms_w500k_0.1,net_touch_0.2,b0_0.2,net_w20k_0.2,fillms_w20k_0.2,net_w100k_0.2,fillms_w100k_0.2,net_w500k_0.2,fillms_w500k_0.2,net_touch_0.5,b0_0.5,net_w20k_0.5,fillms_w20k_0.5,net_w100k_0.5,fillms_w100k_0.5,net_w500k_0.5,fillms_w500k_0.5,net_touch_1.0,b0_1.0,net_w20k_1.0,fillms_w20k_1.0,net_w100k_1.0,fillms_w100k_1.0,net_w500k_1.0,fillms_w500k_1.0,net_touch_2.0,b0_2.0,net_w20k_2.0,fillms_w20k_2.0,net_w100k_2.0,fillms_w100k_2.0,net_w500k_2.0,fillms_w500k_2.0,net_touch_5.0,b0_5.0,net_w20k_5.0,fillms_w20k_5.0,net_w100k_5.0,fillms_w100k_5.0,net_w500k_5.0,fillms_w500k_5.0,net_touch_10.0,b0_10.0,net_w20k_10.0,fillms_w20k_10.0,net_w100k_10.0,fillms_w100k_10.0,net_w500k_10.0,fillms_w500k_10.0
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-228.6,-232.8,90.711,0,3,-232.76,8.1581e+06,4.4099e+05,204.05,-232.76,183.61,123,195.96,347,169.11,1242,163.34,-189.91,187.95,129,193.66,356,163.08,1205,213.68,-235.36,202.17,77,191.97,322,161.51,1123,213.93,-245.8,199.67,102,182.02,106,245.65,1109,206.05,-234.3,187.51,8,187.19,318,169.4,1702,256.45,-273.62,235.08,251,215.17,651,211.36,1043,165.35,-192.51,167.22,34,164.9,172,178.49,1385,-110.88,68.963,-135.16,226,-102.61,766,-72.424,1377
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-105.1,-108.1,-15.051,0,4,-110.07,1.8771e+06,1.277e+06,91.977,-122.81,73.555,23,50.429,91,39.79,623,144.37,-106.19,48.135,50,27.912,225,35.041,740,8.1294,-100.03,38.537,125,43.768,204,42.521,695,144.61,-107.06,136.42,207,128.86,276,142.7,909,103.15,-89.325,123.6,64,126.9,173,120.56,761,132.46,-121.88,158.15,63,137.51,155,121.49,719,142.91,-127.87,147.69,40,148.6,239,92.683,1276,58.765,-51.983,55.471,310,54.83,698,62.838,1600
ETHUSDT,2025-10-10 21:22:00+00:00,1,119.7,114.7,33.016,0,10,114.68,1.7881e+06,1.0122e+05,67.727,118.11,68.924,110,52.6,984,56.333,2769,71.183,120.18,66.391,90,57.167,929,60.734,2684,66.459,110.47,70.431,179,52.208,956,65.433,2689,74.426,112.55,74.507,141,51.516,952,77.004,2507,56.696,99.411,59.328,139,49.56,625,72.807,2012,34.615,71.783,45.301,186,44.864,271,143.35,1736,66.234,108.18,70.427,122,55.512,176,65.43,2456,37.351,73,27.05,52,19.229,169,23.217,498
BTCUSDT,2025-10-10 21:27:00+00:00,1,81.7,63.7,13.946,0,11,77.095,7.7564e+05,9.7151e+05,36.373,63.653,39.112,100,38.731,263,49.657,868,39.506,66.784,40.079,49,39.798,186,54.573,768,41.765,69.131,43.597,59,39.474,222,61.068,678,38.03,66.743,39.479,106,43.291,222,82.933,421,77.157,103.77,61.198,85,57.478,283,32.402,577,43.56,67.659,14.603,51,32.423,395,28.08,938,16.78,50.23,4.3168,66,6.9802,331,6.2719,1449,33.587,60.845,33.036,82,14.57,199,8.0224,1051
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-265.8,-269,207.95,0,15,-270.84,1.9848e+06,5.3686e+05,240.21,-269.02,110.12,73,88.304,160,75.114,897,98.864,-128.32,88.705,36,76.708,112,72.199,884,88.72,-115.85,70.664,224,66.782,417,66.249,924,100.08,-128.53,72.275,89,48.942,129,56.763,624,126.21,-152.9,55.957,54,47.818,154,28.927,416,19.49,-45.392,20.838,108,23.115,171,14.18,820,19.294,-45.96,17.569,42,15.97,206,16.089,1199,-2.9959,-26.881,-0.53814,195,-1.8061,886,0.42061,1489
BTCUSDT,2026-08-19 15:27:00+00:00,1,186.3,186,130.81,0,6,181.69,1.2858e+07,4.9483e+05,161.04,185.41,155.67,43,151.35,457,130.09,1001,155.73,180.61,148.74,70,135.97,357,110.54,901,91.229,116.06,88.574,118,78.94,328,61.76,830,49.127,73.925,45.069,28,39.137,113,33.798,561,43.925,69.044,43.367,1,33.604,48,28.783,1136,30.215,55.717,24.739,46,23.767,136,43.282,1008,-8.5966,15.104,-11.14,22,-3.1389,361,-2.464,2179,-2.0987,22.871,-0.4649,102,3.236,405,13.122,1889
ETHUSDT,2026-08-19 15:27:00+00:00,1,103.9,103.9,56.277,0,6,99.335,1.0174e+07,1.0586e+06,76.286,101.55,70.75,17,61.205,56,40.271,336,47.182,73.408,43.015,41,34.128,152,26.629,601,30.226,56.82,31.405,9,27.969,87,15.862,603,21.028,49.37,16.333,33,19.708,341,15.595,838,-2.1782,24.311,3.1238,61,-8.7333,282,4.4095,2114,-6.5295,21.98,-18.993,143,-15.446,751,7.983,1866,-21.254,6.4503,-29.337,394,-29.668,456,-23.504,2707,-22.244,5.7236,-22.343,135,-13.606,770,3.7563,6389
